,uuid,multiple_session_conducted,test_group
824,1730453,False,test
825,173121,False,control
826,1731430,False,control
827,1732011,False,test
828,1733861,False,test
829,1735383,False,control
830,1735921,True,control
831,1737315,False,control
832,173785,False,control
833,1739213,False,test
834,1739360,False,test
835,1742070,False,control
836,1743134,False,test
837,1744880,True,test
838,1745031,False,test
839,1745567,False,control
840,1746092,False,test
841,1746440,False,test
842,1748299,False,test
843,1749291,False,control
844,174963,False,test
845,1751258,False,control
846,1752961,False,control
847,175364,False,control
848,1755064,False,control
849,1757981,False,control
850,1759309,False,control
851,1759752,False,test
852,1760080,True,test
853,1760451,False,control
854,1760630,False,test
855,1760779,False,test
856,1761952,False,test
857,1763382,False,control
858,1764251,True,test
859,1765902,False,control
860,1766541,False,control
861,1766627,False,control
862,1767737,False,control
863,1768208,False,control
864,1773250,False,control
865,1775108,False,test
866,1775327,False,control
867,1775405,False,test
868,1776212,False,control
869,1777066,False,control
870,1778652,False,control
871,1780436,False,test
872,1780664,False,test
873,1780785,False,control
874,1781513,True,test
875,178436,True,test
876,178437,False,control
877,1784412,False,test
878,1785313,False,control
879,178627,False,test
880,1786980,False,control
881,1787159,False,control
882,1788663,False,test
883,1789078,True,test
884,1789125,False,control
885,1790181,False,control
886,1790431,False,control
887,1792103,True,control
888,1793175,False,control
889,1793716,False,test
890,1796068,False,test
891,179608,False,control
892,1796266,False,test
893,1796777,False,control
894,1797882,False,control
895,1798419,False,control
896,1799933,True,control
897,1801421,False,control
898,1801815,False,control
899,1803498,False,control
900,1804552,False,control
901,180527,False,control
902,1805929,False,test
903,1806193,False,control
904,1807328,False,control
905,1808607,False,test
906,1808770,False,control
907,1809070,False,control
908,1810557,False,test
909,1810785,False,control
910,1811307,False,control
911,1811510,False,control
912,1812271,False,control
913,1812316,False,test
914,1816869,False,test
915,1817036,False,test
916,1817714,True,control
917,1817804,False,control
918,1817925,False,control
919,181846,False,control
920,1819113,False,test
921,1819564,False,control
922,1819680,True,control
923,1819783,False,test
924,1820082,True,test
925,1820147,False,control
926,1820442,False,control
927,1820490,False,test
928,1821119,False,control
929,1822026,False,test
930,182211,False,control
931,1822228,True,control
932,182286,False,test
933,1823231,False,control
934,1823388,False,control
935,1826046,False,test
936,1828151,False,control
937,18287,False,test
938,1829045,False,control
939,1830267,False,control
940,1830438,False,control
941,1830583,False,control
942,183126,False,test
943,1831681,False,control
944,1832037,False,control
945,1833399,False,control
946,1833456,False,control
947,1833638,False,control
948,1836590,False,test
949,1836728,False,control
950,1841256,False,control
951,1842266,False,control
952,1842632,False,test
953,1842759,False,test
954,1843200,False,test
955,1844119,True,test
956,1846452,True,control
957,1846645,False,control
958,1847110,False,control
959,1847440,False,control
960,1848460,False,test
961,1850912,False,test
962,1851041,False,test
963,1855762,False,control
964,1856717,False,control
965,1857090,True,control
966,1858075,False,control
967,1859709,False,control
968,1860101,True,test
969,1860115,False,control
970,1860595,False,control
971,1860765,False,control
972,186243,False,test
973,1862866,True,test
974,1863583,False,test
975,1864239,False,test
976,1868198,False,test
977,1868722,False,control
978,1868802,False,control
979,1869087,False,test
980,1869199,False,test
981,1872824,False,control
982,1875843,False,test
983,1876252,True,control
984,1877316,False,control
985,1877563,False,control
986,1877656,False,control
987,1877852,False,control
988,1878066,True,control
989,1878329,False,control
990,1879273,False,test
991,1880587,False,test
992,1882789,False,test
993,1882914,False,control
994,1883524,False,control
995,1885118,False,control
996,1886009,False,control
997,1886450,False,test
998,1886664,False,control
999,1889620,False,test
1000,189002,True,control
1001,1890953,False,test
1002,189123,False,control
1003,1891360,False,control
1004,1892562,False,control
1005,1893645,False,test
1006,1894400,False,control
1007,1894526,False,control
1008,1895521,False,control
1009,1896775,False,control
1010,1899880,False,test
1011,1900188,False,control
1012,190051,False,test
1013,1900761,False,test
1014,1903395,False,control
1015,1905602,False,test
1016,1909635,False,control
1017,1910770,False,control
1018,1911799,True,control
1019,1913219,False,test
1020,1914798,False,control
1021,1915312,True,control
1022,19156,False,test
1023,1915923,False,test
1024,19163,False,test
1025,1916349,False,control
1026,191641,False,test
1027,1917182,False,test
1028,191854,False,control
1029,1919373,False,control
1030,1919857,False,test
1031,1920633,False,control
1032,1922887,False,control
1033,1924130,False,control
1034,1925195,False,control
1035,1927450,False,test
1036,1927672,False,control
1037,1928383,False,control
1038,1929343,True,test
1039,1932502,False,control
1040,1934996,False,control
1041,1937778,False,control
1042,1937930,False,control
1043,1938068,False,control
1044,1939226,False,control
1045,1940931,False,test
1046,194121,False,control
1047,1941636,True,control
1048,1942440,False,control
1049,1942462,False,test
1050,1942766,False,test
1051,1944695,False,test
1052,1944769,False,control
1053,1945357,False,test
1054,1945552,False,control
1055,1946310,False,test
1056,1947335,True,test
1057,1949499,False,control
1058,1950002,False,control
1059,1952186,False,control
1060,1952716,False,control
1061,1954545,True,test
1062,1955050,True,control
1063,1955314,False,test
1064,1956948,False,control
1065,1957803,False,test
1066,1958574,False,test
1067,1960092,False,control
1068,1960159,False,control
1069,1960471,False,control
1070,1961062,False,test
1071,196215,False,control
1072,1964043,False,test
1073,1964411,False,control
1074,1964796,False,control
1075,1966036,False,control
1076,1966430,False,test
1077,1966666,False,test
1078,1967685,False,control
1079,1968286,False,control
1080,196919,False,test
1081,1972087,True,control
1082,1972509,False,control
1083,1973663,True,test
1084,1974246,False,test
1085,1975089,True,control
1086,1975866,False,control
1087,1976289,False,control
1088,1977398,False,control
1089,1978302,False,control
1090,1981924,False,control
1091,1981969,False,control
1092,198213,False,control
1093,1982405,False,control
1094,1982765,False,test
1095,1982957,False,control
1096,1984341,False,control
1097,198444,False,control
1098,1985494,False,test
1099,1986513,False,control
1100,1987707,True,control
1101,1987945,False,control
1102,1988181,False,control
1103,1988190,False,control
1104,1988816,False,test
1105,1988832,False,control
1106,1989415,False,control
1107,1991246,False,test
1108,1991256,False,test
1109,1993019,False,test
1110,1993191,False,test
1111,1994567,False,control
1112,1994703,False,control
1113,1995341,True,control
1114,1995659,False,control
1115,1995721,True,test
1116,1996667,False,test
1117,1996891,False,test
1118,1997419,False,control
1119,1997531,False,control
1120,2000055,False,control
1121,2000132,False,control
1122,200015,False,test
1123,2000472,False,test
1124,2002327,False,test
1125,200436,False,control
1126,2006145,True,control
1127,2006345,False,test
1128,2006972,False,control
1129,2007186,False,control
1130,2007536,False,control
1131,2007775,False,control
1132,2007892,False,control
1133,2007931,False,test
1134,2009864,False,control
1135,2010678,False,test
1136,2011015,False,control
1137,2011143,False,test
1138,2012227,False,control
1139,2012468,False,control
1140,2013365,False,test
1141,2013456,False,control
1142,2014177,True,test
1143,2014852,False,test
1144,2015044,False,test
1145,2018129,False,test
1146,2018592,False,test
1147,2020769,False,control
1148,2021219,False,test
1149,2021267,True,control
1150,2023719,False,control
1151,2024253,False,control
1152,2024269,True,control
1153,2025755,False,control
1154,2028373,False,test
1155,202924,False,control
1156,2029396,False,control
1157,2030117,True,test
1158,203032,False,control
1159,2030458,False,test
1160,203077,False,control
1161,2031443,False,control
1162,2033033,False,control
1163,2034552,False,control
1164,2035038,False,control
1165,2035274,False,test
1166,2036127,False,test
1167,2036428,False,control
1168,2036873,False,control
1169,2037161,False,control
1170,2037875,False,test
1171,2037909,False,test
1172,2039135,False,control
1173,2039312,False,control
1174,2039842,False,control
1175,2041442,False,test
1176,2042155,False,test
1177,2042328,False,test
1178,20430,False,test
1179,2043168,False,control
1180,2043752,False,test
1181,2046608,False,control
1182,2047644,False,test
1183,2049210,False,control
1184,2050148,False,test
1185,205044,False,control
1186,2050836,False,test
1187,2052111,False,control
1188,2052257,False,test
1189,2053026,False,test
1190,2053047,False,control
1191,2053979,False,control
1192,2056387,False,control
1193,2056808,False,control
1194,2056903,False,test
1195,2057482,False,test
1196,2059226,False,test
1197,2059818,False,control
1198,2060310,False,control
1199,2061762,True,test
1200,2062130,False,control
1201,2062641,False,control
1202,2063290,False,control
1203,2064711,True,control
1204,206628,False,test
1205,2069297,True,test
1206,2069824,False,control
1207,207182,False,control
1208,2072486,False,test
1209,2072517,False,test
1210,207265,False,control
1211,2072993,False,control
1212,2073469,False,control
1213,2075458,False,test
1214,2075502,False,control
1215,2076554,False,test
1216,2077158,False,test
1217,2077480,False,control
1218,2078837,False,control
1219,2080511,True,control
1220,2080514,False,test
1221,2080945,False,control
1222,2086817,False,test
1223,2087497,False,control
1224,2087739,False,control
1225,2090229,False,test
1226,2091074,False,control
1227,2091346,False,test
1228,2091587,False,control
1229,2091918,False,control
1230,209215,False,control
1231,2092238,False,control
1232,209336,False,control
1233,2095124,False,control
1234,2096366,False,test
1235,2096437,False,test
1236,2096855,False,control
1237,209759,False,control
1238,2098150,False,control
1239,2099042,False,control
1240,2099373,False,control
1241,209986,False,test
1242,2100687,False,test
1243,2101017,False,control
1244,2101719,False,test
1245,2102069,False,control
1246,2102995,False,control
1247,2106281,False,control
1248,2107046,False,test
1249,2107291,False,control
1250,2107645,False,control
1251,2110311,False,control
1252,2110358,False,test
1253,2111341,False,control
1254,2111549,False,control
1255,211163,False,test
1256,2111781,False,test
1257,2112160,False,test
1258,2112312,False,control
1259,2112425,False,control
1260,2113431,False,control
1261,2113654,False,control
1262,2114378,False,control
1263,2114456,False,test
1264,211462,False,test
1265,2114703,False,test
1266,2115642,False,control
1267,2116618,False,test
1268,211681,True,test
1269,2117069,False,control
1270,2117567,True,test
1271,211817,False,control
1272,2118408,False,control
1273,211842,False,test
1274,2119718,False,control
1275,2120901,False,test
1276,2122869,False,control
1277,2124957,False,test
1278,2125240,False,control
1279,212554,False,control
1280,2126755,False,control
1281,2127216,False,control
1282,2129987,False,control
1283,2131879,False,test
1284,2133295,True,test
1285,2134479,False,test
1286,2134594,False,test
1287,2135012,False,control
1288,2135164,False,control
1289,2135353,False,control
1290,213654,False,test
1291,2139119,False,control
1292,2139203,False,test
1293,2139917,False,test
1294,2144000,False,control
1295,214793,False,control
1296,2148092,False,control
1297,2148328,False,test
1298,2148643,False,test
1299,2149511,False,test
1300,2149765,False,control
1301,2149834,True,control
1302,2151517,False,control
1303,2152084,False,control
1304,215272,True,test
1305,2152821,False,test
1306,2153771,False,control
1307,2154170,False,test
1308,2154208,False,test
1309,2155114,False,control
1310,2155663,False,control
1311,2157913,False,control
1312,2158094,False,test
1313,2160345,False,test
1314,2160381,False,control
1315,2162906,True,control
1316,2165049,False,control
1317,2165686,False,control
1318,216594,False,test
1319,2166572,False,control
1320,2166599,False,test
1321,2167758,False,control
1322,2167820,False,control
1323,2169628,False,control
1324,2172473,False,test
1325,2172646,False,test
1326,2175343,False,control
1327,2176854,False,control
1328,2177291,False,control
1329,2179881,False,control
1330,2180668,False,test
1331,2181442,False,test
1332,2182680,True,control
1333,2183637,False,test
1334,2188801,False,test
1335,2188995,False,control
1336,2191297,False,test
1337,2191370,False,test
1338,2191983,False,control
1339,2192378,False,control
1340,2192559,False,test
1341,2193937,False,control
1342,219430,False,test
1343,2195029,False,control
1344,2196299,False,test
1345,2200608,False,control
1346,2201221,False,test
1347,2201289,False,control
1348,2202799,False,test
1349,2203118,False,test
1350,2204297,True,control
1351,2205290,False,test
1352,2206011,True,test
1353,2206037,False,test
1354,2206330,False,test
1355,2207125,False,test
1356,2207130,False,test
1357,2207453,False,control
1358,2207807,False,control
1359,2209027,False,control
1360,2209470,False,control
1361,2211179,False,control
1362,2212201,False,test
1363,221229,False,control
1364,2212930,False,test
1365,2213207,False,control
